Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1880   -43  -27  -26  -37  -32  -39  -24  -14  -30  -24  -20  -23    -28 -999  -999  -31  -26  -25  1880
1881   -20  -24   -1   -5   -6  -32  -14  -12  -26  -29  -38  -30    -20 -19    -22   -4  -19  -31  1881
1882   -13   -2  -10  -29  -25  -33  -27  -14  -25  -38  -37  -52    -26 -24    -15  -21  -25  -33  1882
1883   -46  -41  -18  -22  -27  -11  -10  -21  -31  -34  -33  -29    -27 -29    -47  -23  -14  -33  1883
1884   -27  -20  -35  -39  -37  -36  -28  -19  -31  -34  -36  -32    -31 -31    -25  -37  -28  -34  1884
1885   -61  -33  -24  -40  -33  -42  -30  -26  -23  -24  -19   -6    -30 -32    -42  -32  -33  -22  1885
1886   -37  -44  -28  -21  -19  -33   -8  -23  -20  -31  -34  -30    -27 -25    -29  -23  -21  -28  1886
1887   -64  -51  -35  -42  -29  -24   -8  -27  -25  -38  -32  -40    -35 -34    -48  -35  -20  -32  1887
1888   -48  -47  -46  -36  -29  -25  -19  -23  -19  -11   -5  -22    -28 -29    -45  -37  -22  -12  1888
1889   -23    8   -1   -3   -7  -13  -17  -25  -22  -30  -37  -34    -17 -16    -12   -4  -18  -30  1889
1890   -52  -41  -34  -37  -50  -39  -31  -38  -42  -24  -51  -35    -40 -39    -42  -41  -36  -39  1890
1891   -49  -54  -18  -31  -21  -24  -23  -20  -17  -24  -39  -10    -28 -30    -46  -23  -22  -27  1891
1892   -39  -12  -36  -44  -33  -23  -32  -29  -22  -29  -52  -48    -33 -30    -20  -38  -28  -35  1892
1893   -86  -60  -20  -37  -40  -29  -11  -27  -26  -18  -19  -35    -34 -35    -65  -32  -23  -21  1893
1894   -52  -33  -26  -45  -40  -44  -21  -26  -36  -29  -39  -30    -35 -36    -40  -37  -31  -35  1894
1895   -57  -50  -32  -28  -31  -23  -21  -19  -13  -17  -14  -21    -27 -28    -45  -30  -21  -15  1895
1896   -27  -20  -32  -38  -17  -15   -8  -14  -11   -2  -15  -13    -18 -18    -23  -29  -12   -9  1896
1897   -22  -20  -19   -9   -5  -14   -5  -10  -15  -12  -19  -17    -14 -14    -18  -11  -10  -15  1897
1898    -7  -26  -49  -25  -36  -18  -21  -22  -21  -29  -40  -28    -27 -26    -17  -37  -21  -30  1898
1899   -22  -38  -29  -16  -17  -28  -10   -7   -7   -2   13  -27    -16 -16    -29  -21  -15    1  1899
1900   -35    5   -1  -11   -8  -10  -10  -11   -6    1  -13   -8     -9 -11    -19   -7  -10   -6  1900
1901   -21    0    3   -3  -15  -14  -17  -19  -22  -26  -24  -26    -15 -14    -10   -5  -17  -24  1901
1902   -14    5  -23  -26  -29  -30  -17  -27  -26  -32  -42  -46    -25 -24    -12  -26  -25  -33  1902
1903   -25    5  -16  -36  -32  -42  -28  -38  -43  -41  -32  -45    -31 -31    -22  -28  -36  -39  1903
1904   -56  -45  -34  -43  -42  -35  -33  -34  -38  -31  -12  -21    -35 -37    -49  -40  -34  -27  1904
1905   -31  -55  -21  -35  -28  -26  -22  -17  -17  -26  -10  -21    -26 -26    -36  -28  -22  -17  1905
1906   -27  -30  -17   -3  -20  -13  -22  -12  -22  -15  -38  -14    -19 -20    -26  -13  -16  -25  1906
1907   -42  -50  -28  -46  -50  -45  -39  -40  -28  -25  -44  -43    -40 -37    -35  -41  -41  -33  1907
1908   -41  -27  -47  -41  -34  -26  -24  -34  -22  -30  -40  -40    -34 -34    -37  -41  -28  -31  1908
1909   -56  -38  -43  -45  -42  -41  -33  -20  -23  -22  -19  -40    -35 -35    -45  -43  -32  -21  1909
1910   -33  -32  -35  -34  -35  -34  -21  -24  -29  -31  -42  -56    -34 -32    -35  -35  -26  -34  1910
1911   -53  -47  -50  -49  -42  -38  -24  -28  -24  -18  -18  -19    -34 -37    -52  -47  -30  -20  1911
1912   -23  -10  -31  -22  -21  -20  -39  -52  -43  -52  -32  -34    -32 -30    -17  -24  -37  -42  1912
1913   -38  -34  -38  -35  -38  -43  -28  -24  -26  -31  -18   -3    -30 -32    -36  -37  -32  -25  1913
1914    -4  -11  -21  -24  -16  -16  -16  -14  -17   -1  -19  -15    -14 -13     -6  -20  -15  -12  1914
1915   -21   -7  -14    1   -2   -2   -2  -11   -6  -20  -12  -19    -10  -9    -15   -5   -5  -13  1915
1916   -18  -16  -32  -26  -32  -38  -28  -20  -26  -19  -36  -63    -29 -26    -18  -30  -28  -27  1916
1917   -41  -50  -49  -38  -56  -36  -18  -21  -15  -36  -30  -70    -38 -38    -51  -48  -25  -27  1917
1918   -49  -44  -28  -45  -46  -35  -29  -38  -23   -7  -20  -33    -33 -36    -54  -40  -34  -17  1918
1919   -17  -20  -19  -12  -18  -19  -19  -15  -12  -18  -45  -34    -21 -21    -23  -16  -18  -25  1919
1920   -13  -21   -1  -14  -11  -19  -25  -20  -20  -26  -29  -44    -20 -19    -23   -9  -21  -25  1920
1921    -5  -17  -14  -17  -20  -13   -1  -27  -20   -8  -17  -17    -15 -17    -22  -17  -14  -15  1921
1922   -32  -36  -20  -25  -31  -26  -17  -26  -29  -26  -17  -19    -25 -25    -28  -25  -23  -24  1922
1923   -24  -27  -24  -35  -36  -22  -28  -30  -27   -9    2   -3    -22 -23    -23  -32  -27  -11  1923
1924   -23  -24  -10  -32  -22  -21  -19  -21  -24  -24  -14  -32    -22 -20    -17  -21  -20  -21  1924
1925   -32  -26  -17  -18  -24  -29  -21  -14  -17  -20    0   15    -17 -21    -30  -20  -22  -12  1925
1926    20   13   23   -9  -14  -16  -10    0   -4    0   -5  -19     -2   1     16    0   -8   -3  1926
1927   -19   -5  -30  -23  -20  -18   -7  -16   -8    3   -1  -30    -15 -14    -14  -24  -14   -2  1927
1928     2   -3  -19  -24  -25  -29  -11  -17  -12  -12   -1   -9    -13 -15    -10  -23  -19   -8  1928
1929   -33  -43  -24  -31  -32  -33  -27  -24  -20   -8   -2  -43    -27 -24    -28  -29  -28  -10  1929
1930   -17  -14   -3  -16  -18  -15   -9   -2   -8   -8   16   -2     -8 -11    -25  -12   -9    0  1930
